emp_title,emp_length,state,homeownership,annual_income,verified_income,debt_to_income,annual_income_joint,verification_income_joint,debt_to_income_joint,delinq_2y,months_since_last_delinq,earliest_credit_line,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,num_collections_last_12m,num_historical_failed_to_pay,months_since_90d_late,current_accounts_delinq,total_collection_amount_ever,current_installment_accounts,accounts_opened_24m,months_since_last_credit_inquiry,num_satisfactory_accounts,num_accounts_120d_past_due,num_accounts_30d_past_due,num_active_debit_accounts,total_debit_limit,num_total_cc_accounts,num_open_cc_accounts,num_cc_carrying_balance,num_mort_accounts,account_never_delinq_percent,tax_liens,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,grade,sub_grade,issue_month,loan_status,initial_listing_status,disbursement_method,balance,paid_total,paid_principal,paid_interest,paid_late_fees
,NA,FL,MORTGAGE,94000,Not Verified,18.26,NA,,NA,2,9,1971,2,33,15,271045,47000,0,0,12,0,0,2,7,2,15,0,0,6,21200,28,12,9,2,59.4,0,0,home_improvement,individual,4000,36,12.62,134.05,C,C1,Jan-2018,Current,fractional,Cash,3530.31,663.24,469.69,193.55,0
radiology,10,MI,MORTGAGE,36000,Source Verified,24.37,73000,Not Verified,32.38,0,74,1992,1,27,8,203884,25327,0,0,NA,0,0,2,2,12,8,0,0,4,18000,21,5,5,1,96.3,0,0,debt_consolidation,joint,16000,36,6.08,487.34,A,A2,Jan-2018,Current,whole,Cash,13947.94,2425.89,2052.06,373.83,0
lpn,10,MS,MORTGAGE,45000,Source Verified,16.19,98000,Not Verified,19.6,0,68,1995,0,32,8,132129,20931,0,0,NA,0,0,1,2,NA,8,0,0,2,25700,21,6,3,3,96.9,0,0,debt_consolidation,joint,19200,60,9.44,402.68,B,B1,Jan-2018,Current,whole,Cash,17921.85,2003.33,1278.15,725.18,0
owner / broker,10,NY,MORTGAGE,150000,Not Verified,20.55,NA,,NA,0,46,2006,5,28,19,289034,63662,0,0,NA,0,0,4,5,1,19,0,0,2,9900,20,14,9,1,100,0,0,other,individual,25000,36,9.93,805.86,B,B2,Jan-2018,Current,whole,Cash,21955.1,4001.72,3044.9,956.82,0
sales consultant ,2,NH,MORTGAGE,95000,Source Verified,7.6,NA,,NA,1,16,2003,3,11,9,50256,8865,0,1,NA,0,54,1,1,0,9,0,0,4,20000,9,8,4,0,90,0,1,major_purchase,individual,35000,36,9.92,1128.04,B,B2,Mar-2018,Current,whole,Cash,32463.02,3364.83,2536.98,827.85,0
electro-mechanical tech,0,MA,RENT,45000,Source Verified,4.27,NA,,NA,0,NA,2006,1,7,4,7700,6632,0,0,NA,0,0,0,3,7,4,0,0,3,7000,6,4,4,0,100,0,0,major_purchase,individual,10000,36,18.06,361.83,D,D2,Jan-2018,Current,whole,Cash,9135.4,1437.29,864.6,572.69,0
provider enrollment,4,MA,RENT,32000,Verified,37.06,NA,,NA,0,NA,2006,5,15,12,68084,51966,0,0,NA,0,0,6,2,11,12,0,0,4,25500,8,6,4,0,100,0,0,debt_consolidation,individual,7000,36,18.45,254.65,D,D2,Mar-2018,Current,whole,Cash,6552.11,756.77,447.89,308.88,0
teacher,2,NY,RENT,50000,Not Verified,31.88,NA,,NA,0,NA,2001,0,41,15,221481,173984,1,0,NA,0,580,8,2,22,15,0,0,3,51700,11,7,3,0,100,0,0,credit_card,individual,6000,36,6.08,182.75,A,A2,Jan-2018,Current,whole,Cash,5230.49,911.72,769.51,142.21,0
educator,6,CA,RENT,112500,Not Verified,19.42,NA,,NA,1,13,1997,0,41,24,93785,72536,0,0,72,0,0,1,7,13,24,0,0,10,42400,35,23,12,1,75,0,0,debt_consolidation,individual,30000,36,11.99,996.29,B,B5,Feb-2018,Fully Paid,whole,DirectPay,0,31032.6937390806,30000,1032.69,0
sr admin assistant,10,TX,RENT,95731,Not Verified,19.64,NA,,NA,0,NA,2002,1,37,15,86768,53109,0,0,NA,0,0,2,10,4,15,0,0,2,33700,21,13,4,0,100,0,0,debt_consolidation,individual,20600,60,30.79,676.52,G,G1,Jan-2018,Current,whole,Cash,19821.53,3345.79,778.47,2567.32,0
driver,10,IL,RENT,33000,Not Verified,19.24,NA,,NA,0,NA,1990,0,9,4,21800,20645,0,0,NA,0,0,1,1,NA,4,0,0,3,20300,7,3,3,0,100,0,0,other,individual,2500,36,19.03,91.68,D,D3,Feb-2018,Current,whole,Cash,2286.86,364.08,213.14,150.94,0
senior business analyst,10,CA,RENT,65500,Source Verified,24.55,NA,,NA,0,NA,1998,1,18,7,56900,40017,0,0,NA,0,0,3,3,1,7,0,0,1,19700,8,4,3,0,100,0,0,debt_consolidation,individual,28000,36,16.02,984.68,C,C5,Feb-2018,Current,whole,Cash,25507.11,3764.28,2492.89,1271.39,0
service tech,7,IL,MORTGAGE,140000,Not Verified,7.41,NA,,NA,0,NA,2006,0,16,7,44216,32676,0,1,NA,0,471,2,2,15,7,0,0,2,11300,9,5,5,0,100,0,1,debt_consolidation,individual,15000,60,14.07,349.57,C,C3,Mar-2018,Current,whole,Cash,14472.78,1025.26,527.22,498.04,0
,NA,CT,RENT,28790,Not Verified,20.84,59990,Not Verified,10,0,NA,2004,0,18,6,49355,33022,0,1,NA,0,0,3,0,24,6,0,0,2,7500,6,3,3,0,100,0,1,debt_consolidation,joint,18000,36,10.91,588.54,B,B4,Jan-2018,Current,whole,Cash,15836.57,2986.34,2163.43,822.91,0
receptionist ,0,NV,RENT,40000,Not Verified,4.17,NA,,NA,0,NA,2013,0,8,7,36457,17503,0,0,NA,0,1711,1,4,NA,7,0,0,1,2500,7,6,4,0,100,0,0,credit_card,individual,3000,36,9.93,96.71,B,B2,Feb-2018,Current,whole,Cash,2708.87,385.18,291.13,94.05,0
logistics,2,MT,OWN,32000,Not Verified,32.82,NA,,NA,0,55,2013,1,11,7,36089,19955,0,0,55,0,0,2,4,10,7,0,0,3,10600,6,5,5,0,90.9,0,0,credit_card,individual,10000,36,13.59,339.79,C,C2,Feb-2018,Current,fractional,Cash,9078.33,1344.06,921.67,422.39,0
,NA,TX,OWN,10500,Source Verified,12.8,NA,,NA,0,NA,2007,1,9,6,3500,1176,0,0,NA,0,0,0,7,8,6,0,0,1,800,6,6,4,0,100,0,0,other,individual,1000,36,18.06,36.19,D,D2,Jan-2018,Current,whole,Cash,891.07,178.44,108.93,69.51,0
meatcutter helper,7,MD,RENT,32500,Not Verified,19.79,NA,,NA,0,NA,1991,0,31,16,57522,16447,0,2,NA,0,0,2,7,13,16,0,0,4,24900,26,14,8,2,100,1,1,debt_consolidation,individual,6500,36,6.71,199.85,A,A3,Mar-2018,Current,whole,Cash,6006.74,597.13,493.26,103.87,0
owner ,10,CA,RENT,120000,Source Verified,5.82,NA,,NA,0,47,1995,1,17,6,17800,10528,0,0,49,0,0,0,4,1,6,0,0,2,4500,15,6,5,2,76.5,0,0,other,individual,35000,36,12.62,1172.9,C,C1,Feb-2018,Current,whole,Cash,31730.74,4703.87,3269.26,1434.61,0
nurse,8,PA,MORTGAGE,80000,Source Verified,13.97,NA,,NA,0,51,1998,5,44,14,205734,54215,0,0,NA,0,138,6,10,3,14,0,0,2,14200,17,7,3,8,100,0,0,home_improvement,individual,8000,36,6.72,246,A,A3,Jan-2018,Current,whole,Cash,6982.67,1227.01,1017.33,209.68,0
lead its specialist,3,FL,RENT,95000,Source Verified,1.07,NA,,NA,0,NA,2014,1,2,2,6900,346,0,0,NA,0,0,0,0,6,2,0,0,2,6900,2,2,2,0,100,0,0,major_purchase,individual,36000,36,7.97,1127.62,A,A5,Jan-2018,Current,whole,Cash,31497.99,5622.16,4502.01,1120.15,0
labor worker,2,CA,OWN,24000,Verified,6,54000,Verified,25.29,0,NA,2000,0,10,6,136342,2550,0,0,NA,0,0,0,3,18,6,0,0,1,19300,8,5,3,2,100,0,0,other,joint,7000,36,7.35,217.27,A,A4,Feb-2018,Current,whole,Cash,6295.98,866.22,704.02,162.2,0
home health aide,3,NY,RENT,52000,Verified,2.86,NA,,NA,1,15,2005,1,7,7,10700,2157,0,0,NA,0,0,0,1,12,7,0,0,2,5200,7,7,4,0,85.7,0,0,major_purchase,individual,25000,60,11.98,555.86,B,B5,Mar-2018,Current,whole,Cash,24071.97,1634.3,928.03,706.27,0
barista,8,AK,RENT,54000,Not Verified,34.09,NA,,NA,0,NA,2008,2,17,6,128044,113041,0,0,NA,0,0,4,3,2,6,0,0,1,8000,5,2,2,0,100,0,0,debt_consolidation,individual,10000,36,12.62,335.12,C,C1,Jan-2018,Current,whole,Cash,8825.79,1668.59,1174.21,494.38,0
rental management,10,WY,MORTGAGE,84000,Not Verified,5.71,113000,Not Verified,4.24,0,NA,1991,3,37,15,241162,11513,0,0,NA,0,0,2,10,7,15,0,0,2,34000,23,12,3,8,100,0,0,credit_card,joint,9975,36,6.08,303.83,A,A2,Jan-2018,Current,fractional,Cash,8954.11,1211.95,1020.89,191.06,0
engineer,10,NJ,RENT,70000,Not Verified,16.58,NA,,NA,0,NA,2007,4,13,7,52095,40634,0,0,NA,0,0,0,2,3,7,NA,0,5,47800,9,6,6,2,92,0,0,credit_card,individual,5000,36,9.92,161.15,B,B2,Feb-2018,Current,whole,Cash,4637.57,487.58,362.43,125.15,0
district manager,3,CA,RENT,120000,Not Verified,8.25,NA,,NA,0,NA,1986,0,18,14,50774,14393,0,1,NA,0,0,2,3,18,14,0,0,6,26300,14,12,9,0,100,0,1,debt_consolidation,individual,8000,36,9.44,256.04,B,B1,Feb-2018,Current,whole,Cash,7218.41,1017.87,781.59,236.28,0
office specialist ii,6,TX,MORTGAGE,22568,Verified,57.66,120328,Verified,22.61,1,18,2005,0,14,9,215257,39720,0,0,18,0,0,1,3,NA,9,0,0,2,11100,8,7,2,1,92.9,0,0,debt_consolidation,joint,40000,60,16.01,972.94,C,C5,Mar-2018,Current,whole,Cash,38664.52,2847.66,1335.48,1512.18,0
it technician,10,NV,RENT,76000,Not Verified,20.51,99000,Not Verified,19.55,0,NA,2006,0,33,12,79900,36991,0,0,NA,0,0,2,3,13,12,0,0,5,14700,14,10,7,0,100,0,0,debt_consolidation,joint,12000,60,9.44,251.68,B,B1,Jan-2018,Current,whole,Cash,11363.42,1000.43,636.58,363.85,0
director of pharmacy,10,AR,MORTGAGE,132454,Not Verified,21.97,188454,Not Verified,21.85,0,NA,2002,0,15,8,357933,81406,0,0,NA,0,0,5,0,NA,8,0,0,1,2300,2,1,1,3,100,0,0,credit_card,joint,12000,36,6.08,365.5,A,A2,Feb-2018,Current,whole,Cash,10771.91,1457.95,1228.09,229.86,0
online developer,5,KY,MORTGAGE,40000,Verified,56.86,90000,Verified,25.6,0,NA,1989,0,33,12,200750,78170,0,0,NA,0,0,2,3,NA,12,0,0,8,58000,24,9,9,3,100,0,0,debt_consolidation,joint,30000,60,19.03,778.72,D,D3,Feb-2018,Current,whole,Cash,28758.99,3083.16,1241.01,1842.15,0
project manager,6,AR,MORTGAGE,75000,Source Verified,15.82,NA,,NA,0,72,1995,2,13,8,187285,24253,0,0,72,0,0,2,3,5,8,0,0,2,28900,6,5,2,3,92.3,0,0,debt_consolidation,individual,8400,36,9.92,270.73,B,B2,Mar-2018,Current,whole,Cash,7791.12,802.93,608.88,194.05,0
,NA,GA,MORTGAGE,48000,Verified,15.62,NA,,NA,0,NA,2000,0,34,13,190201,23562,0,0,NA,0,0,1,2,NA,13,0,0,6,38700,22,10,6,5,100,0,0,debt_consolidation,individual,10000,60,7.34,199.63,A,A4,Feb-2018,Current,whole,Cash,9582.06,594.81,417.94,176.87,0
paramedic,6,NY,MORTGAGE,75000,Not Verified,19.34,NA,,NA,0,NA,2004,2,31,26,397022,30974,0,0,NA,0,0,1,7,2,26,0,0,11,36600,29,24,21,1,100,0,0,other,individual,2100,36,10.42,68.18,B,B3,Jan-2018,Current,fractional,Cash,1845.9,339.68,254.1,85.58,0
wic manager,10,MI,MORTGAGE,58000,Source Verified,29.26,NA,,NA,4,6,1996,2,27,7,165773,20686,0,0,16,0,94,3,2,4,7,0,0,1,3000,13,3,3,2,63,0,0,other,individual,1000,36,9.93,32.24,B,B2,Jan-2018,Current,fractional,Cash,878.18,160.65,121.82,38.83,0
ophthalmic technition,1,CT,MORTGAGE,41600,Source Verified,27.64,NA,,NA,1,9,2007,2,29,17,216727,36091,0,0,NA,0,0,7,1,6,17,0,0,1,9500,13,9,2,1,95.8,0,0,debt_consolidation,individual,12400,60,16.01,301.61,C,C5,Mar-2018,Current,whole,DirectPay,12125.84,592.19,274.16,318.03,0
warehouse,0,IL,MORTGAGE,65000,Source Verified,17.45,135000,Source Verified,17.96,1,9,1996,0,14,7,285198,18411,0,1,NA,0,0,2,2,14,7,0,0,4,8900,11,4,4,1,92.9,0,1,debt_consolidation,joint,23000,60,21.45,628.07,D,D5,Jan-2018,Current,whole,Cash,21875.8,3071.83,1124.2,1947.63,0
sales & marketing,3,PA,MORTGAGE,50000,Source Verified,22.13,NA,,NA,0,NA,1994,1,35,17,149426,40303,0,1,NA,0,0,1,3,11,17,0,0,5,28800,24,15,10,1,100,0,1,credit_card,individual,24000,60,9.93,509.11,B,B2,Feb-2018,Current,whole,DirectPay,22742.46,2009.96,1257.54,752.42,0
maintenance,3,WA,MORTGAGE,50000,Verified,26.79,NA,,NA,2,12,2003,0,16,8,175201,40930,0,0,12,0,0,3,1,15,8,0,0,1,1500,7,4,3,4,87.5,0,0,credit_card,individual,12000,36,10.42,389.58,B,B3,Jan-2018,Current,whole,Cash,10843.53,1603.47,1156.47,447,0
inside sales,10,CA,RENT,64000,Not Verified,15.47,NA,,NA,0,34,2003,2,17,9,55257,20118,0,0,34,0,0,2,3,5,9,0,0,3,26700,14,7,4,0,76.5,0,0,debt_consolidation,individual,20675,60,13.59,476.69,C,C2,Jan-2018,Current,whole,Cash,19434.49,2367.84,1240.51,1127.33,0
,NA,NC,OWN,63000,Verified,2.08,NA,,NA,0,NA,2002,2,12,5,334500,5238,0,0,NA,0,0,0,3,1,5,0,0,2,30500,9,4,2,3,100,0,0,home_improvement,individual,10000,36,6.08,304.59,A,A2,Feb-2018,Current,whole,Cash,8976.56,1214.98,1023.44,191.54,0
,NA,NV,RENT,63477.84,Verified,22.08,NA,,NA,0,NA,1987,0,32,20,69100,36830,0,0,NA,0,0,0,11,24,20,0,0,7,46600,29,20,12,0,100,0,0,credit_card,individual,35000,60,20,927.29,D,D4,Jan-2018,Current,whole,Cash,33221.93,4597.56,1778.07,2819.49,0
mortgage underwriter,10,NY,MORTGAGE,125000,Source Verified,19.62,NA,,NA,0,26,1987,4,51,33,616120,98378,0,0,32,0,2988,5,8,1,33,0,0,9,28200,38,22,14,3,90.2,0,0,major_purchase,individual,20000,60,17.09,498.02,D,D1,Jan-2018,Current,whole,Cash,19128.86,1973.09,871.14,1101.95,0
sheriff deputy/bailiff,10,NC,MORTGAGE,43000,Verified,22.55,NA,,NA,0,NA,2000,1,22,11,164140,17856,0,1,NA,0,0,1,10,12,11,0,0,4,15100,16,9,5,2,100,0,1,credit_card,individual,10000,36,9.44,320.05,B,B1,Jan-2018,Fully Paid,whole,Cash,0,10248.7792873018,10000,248.78,0
account services representative ,0,TN,RENT,25000,Source Verified,8.21,NA,,NA,0,NA,2006,0,8,3,4686,2528,0,0,NA,0,0,1,3,18,3,0,0,0,0,7,2,2,0,100,0,0,debt_consolidation,individual,5000,36,15.05,173.45,C,C4,Feb-2018,Current,fractional,Cash,4548.62,703.42,451.38,252.04,0
office manager,2,MA,MORTGAGE,53200,Verified,28.74,NA,,NA,0,NA,1988,0,25,17,361800,45914,0,0,NA,0,0,0,2,NA,17,0,0,7,105400,21,16,7,3,100,0,0,credit_card,individual,18500,36,7.34,574.11,A,A4,Mar-2018,Current,whole,Cash,17108.67,1707.24,1391.33,315.91,0
billing supervisor,7,CA,RENT,62000,Source Verified,17.44,NA,,NA,0,NA,2008,0,10,7,27000,19272,0,1,NA,0,0,1,3,14,7,0,0,3,9900,6,6,4,0,100,0,1,debt_consolidation,individual,20000,36,11.99,664.2,B,B5,Feb-2018,Current,whole,Cash,18592.93,2072.54,1407.07,665.47,0
assistant professor,0,TX,RENT,55000,Source Verified,8.44,NA,,NA,0,NA,2005,3,29,24,116633,123970,0,0,NA,0,0,19,3,1,24,0,0,1,16500,4,4,2,0,100,0,0,other,individual,6000,36,11.99,199.26,B,B5,Jan-2018,Current,whole,Cash,5289.39,970.32,710.61,259.71,0
,NA,WI,MORTGAGE,75000,Not Verified,13.34,NA,,NA,1,14,1984,2,38,18,276435,31810,0,0,NA,0,0,1,2,9,18,0,0,4,85900,32,16,5,3,94.7,0,0,credit_card,individual,20000,36,5.32,602.3,A,A1,Jan-2018,Current,whole,Cash,17408.96,2999.68,2591.04,408.64,0
ui ux designer,2,MI,RENT,94000,Not Verified,12.78,NA,,NA,0,NA,2014,3,11,9,75813,34994,0,0,NA,0,0,2,9,7,9,0,0,4,38000,8,7,5,0,100,0,0,other,individual,30000,36,12.61,1005.2,C,C1,Feb-2018,Current,whole,Cash,27908.32,2994.58,2091.68,902.9,0
installer,10,SC,RENT,33600,Verified,17.43,81600,Source Verified,7.18,1,23,2005,0,9,6,32347,15967,0,0,NA,0,53,1,1,NA,6,0,0,4,9800,7,5,4,0,66.7,0,0,debt_consolidation,joint,18000,36,9.93,580.22,B,B2,Feb-2018,Current,whole,Cash,16253.39,2310.95,1746.61,564.34,0
store manager,10,NC,MORTGAGE,44500,Not Verified,28.02,NA,,NA,0,26,2004,3,40,10,308271,32220,0,0,NA,0,0,3,6,5,10,0,0,2,19000,21,6,5,1,97.5,0,0,credit_card,individual,3200,36,9.43,102.41,B,B1,Mar-2018,Current,whole,Cash,2966.38,303.88,233.62,70.26,0
health professions recruiter,10,CA,RENT,65000,Not Verified,30.06,NA,,NA,0,72,2007,2,26,16,134946,81739,0,0,72,0,0,3,6,2,16,0,0,0,3900,16,13,2,0,96.2,0,0,debt_consolidation,individual,15000,36,7.97,469.84,A,A5,Jan-2018,Current,whole,Cash,13124.17,2335.92,1875.83,460.09,0
processor,3,MN,MORTGAGE,80000,Source Verified,14.81,NA,,NA,0,24,2007,3,26,12,138612,40254,0,0,NA,0,0,3,5,2,12,0,0,1,7200,11,8,4,2,88.5,0,0,house,individual,10000,60,14.07,233.05,C,C3,Mar-2018,Current,whole,Cash,9767.04,450.47,232.96,217.51,0
teacher,10,TX,OWN,150000,Source Verified,23.17,NA,,NA,0,NA,1998,3,53,13,280006,85390,0,0,NA,0,0,4,6,5,13,0,0,5,12900,22,8,8,4,100,0,0,credit_card,individual,14000,36,11.99,464.94,B,B5,Jan-2018,Current,whole,Cash,12341.91,2306.05,1658.09,647.96,0
area sales manager,5,OH,MORTGAGE,100000,Not Verified,19.85,NA,,NA,0,NA,2009,0,25,11,337115,95128,0,0,NA,0,0,3,3,14,11,0,0,4,80800,8,7,4,1,100,0,0,credit_card,individual,16000,36,6.07,487.26,A,A2,Mar-2018,Current,whole,Cash,14774.84,1456.38,1225.16,231.22,0
backtender,10,NY,MORTGAGE,72000,Not Verified,28.04,NA,,NA,0,43,1997,1,34,15,275294,48069,0,0,NA,0,0,3,5,11,15,0,0,3,60700,23,11,5,3,97.1,0,0,debt_consolidation,individual,8300,36,10.41,269.42,B,B3,Mar-2018,Fully Paid,whole,Cash,0,8343.201666666,8300,43.2,0
software developer,2,TX,RENT,109992,Source Verified,2.25,NA,,NA,1,12,2008,0,7,3,21500,7364,0,0,NA,0,0,0,0,NA,3,0,0,2,21500,6,3,2,0,85.7,0,0,debt_consolidation,individual,9000,36,10.42,292.19,B,B3,Jan-2018,Current,whole,Cash,5657.31,3650.53,3342.69,307.84,0
sales/ cobbler,10,IL,RENT,75000,Source Verified,18.92,NA,,NA,0,NA,1997,2,17,5,58850,54907,0,0,NA,0,0,2,5,3,5,0,0,1,3000,7,2,2,0,100,0,0,debt_consolidation,individual,24000,60,16.02,583.89,C,C5,Jan-2018,Current,whole,Cash,22646.89,2969.51,1353.11,1616.4,0
maintenance supervisor,0,GA,RENT,42000,Source Verified,15.37,NA,,NA,1,21,2009,0,16,10,37932,11024,0,0,NA,0,0,1,0,NA,10,0,0,5,18800,10,9,6,2,93.8,0,0,debt_consolidation,individual,12000,36,7.34,372.4,A,A4,Mar-2018,Current,whole,Cash,11097.5,1117.2,902.5,214.7,0
owner,10,AR,MORTGAGE,75000,Not Verified,19.63,NA,,NA,0,43,1999,7,40,14,184300,46323,0,0,55,0,524,3,9,5,14,0,0,5,25400,21,10,6,10,85,0,0,debt_consolidation,individual,13000,60,12.62,293.27,C,C1,Jan-2018,Current,whole,Cash,12200.6,1457.24,799.4,657.84,0
nurse,1,AR,MORTGAGE,60000,Not Verified,15.78,NA,,NA,0,49,2000,6,22,14,80738,48966,0,0,NA,0,0,6,3,1,14,0,0,5,57500,13,8,5,0,95.5,0,0,major_purchase,individual,15000,36,11.99,498.15,B,B5,Feb-2018,Current,fractional,Cash,13585.88,1967.62,1414.12,553.5,0
office manager`,10,NJ,RENT,65000,Source Verified,26.43,NA,,NA,0,NA,1985,0,22,17,64750,34139,0,0,NA,0,0,1,3,20,17,0,0,8,32600,18,16,13,0,100,0,0,medical,individual,30000,36,21.85,1143.39,D,D5,Mar-2018,In Grace Period,whole,Cash,28794.85,2341.41,1205.15,1136.26,0
regional finance leader,8,CO,MORTGAGE,150000,Source Verified,19.52,NA,,NA,0,25,1991,3,18,8,429810,97939,0,0,NA,0,0,3,5,7,8,0,0,3,22500,6,4,4,5,77.8,0,0,home_improvement,individual,19375,60,26.3,583.55,E,E5,Jan-2018,Current,whole,Cash,18544.83,2861.13,830.17,2030.96,0
,NA,MI,RENT,18708,Verified,10.65,NA,,NA,0,NA,2010,0,12,10,14500,5495,0,0,NA,0,0,0,4,21,10,0,0,2,10000,12,10,3,0,100,0,0,credit_card,individual,6000,36,10.41,194.77,B,B3,Mar-2018,Current,fractional,DirectPay,5568.11,580.84,431.89,148.95,0
,NA,IL,MORTGAGE,100000,Verified,18.22,NA,,NA,0,28,1985,3,35,9,261526,17368,0,0,28,0,0,1,4,1,9,0,0,5,12100,24,7,5,3,87.9,0,0,other,individual,20000,36,7.35,620.75,A,A4,Feb-2018,Current,whole,Cash,17988.61,2474.83,2011.39,463.44,0
director ,2,HI,RENT,97000,Not Verified,28.24,NA,,NA,0,NA,1998,0,20,8,103203,46215,0,0,NA,0,0,2,2,15,8,0,0,2,36800,7,6,4,0,100,0,0,debt_consolidation,individual,20000,60,12.62,451.19,C,C1,Feb-2018,Current,whole,Cash,19021.27,1776.72,978.73,797.99,0
assistant parts manager,10,CA,RENT,45000,Verified,25.92,NA,,NA,0,NA,2008,0,9,7,52308,33651,0,0,NA,0,0,2,2,19,7,0,0,1,1700,5,5,4,0,100,0,0,car,individual,24000,60,16.02,583.89,C,C5,Feb-2018,Current,whole,Cash,22924.75,2314.2,1075.25,1238.95,0
teacher,2,FL,MORTGAGE,50000,Verified,20.72,NA,,NA,0,NA,2012,1,31,18,63637,54494,0,0,NA,0,0,5,9,8,18,0,0,9,15500,13,13,11,0,100,0,0,credit_card,individual,14000,60,18.45,358.95,D,D2,Mar-2018,Current,whole,Cash,13710.39,703.55,289.61,413.94,0
,NA,AR,RENT,55000,Not Verified,1.85,110000,Not Verified,7.85,2,3,1997,1,17,6,29300,3541,0,1,10,0,0,0,0,11,6,0,0,1,25900,16,6,3,0,88.2,0,1,car,joint,6600,36,10.42,214.27,B,B3,Jan-2018,Current,whole,Cash,5801.45,1067.53,798.55,268.98,0
prep touch up,3,TX,RENT,35568,Not Verified,6.31,NA,,NA,0,33,1992,0,12,5,11124,3633,0,0,59,0,900,1,3,18,5,0,0,1,3000,7,4,1,2,66.7,0,0,major_purchase,individual,2400,36,9.44,76.82,B,B1,Jan-2018,Current,whole,Cash,2105.71,381.58,294.29,87.29,0
soldier,10,SC,MORTGAGE,78762,Source Verified,12.28,NA,,NA,0,NA,2005,0,10,4,213771,47674,0,0,NA,0,0,1,3,15,4,0,0,1,5900,5,2,1,2,100,0,0,debt_consolidation,individual,16000,60,11.99,355.84,B,B5,Jan-2018,Current,whole,Cash,15000.36,1752.56,999.64,752.92,0
labor ,9,AR,MORTGAGE,60000,Not Verified,25.66,NA,,NA,0,63,2000,5,40,9,130151,41111,0,0,NA,0,0,3,5,3,9,0,0,5,26700,11,5,5,2,97.5,0,0,debt_consolidation,individual,20000,60,9.93,424.26,B,B2,Feb-2018,Current,whole,Cash,18952.04,1686.01,1047.96,638.05,0
research coordinator ,4,FL,MORTGAGE,35000,Verified,53.94,107000,Not Verified,19.99,0,NA,2006,0,31,11,264702,82893,0,0,NA,0,0,3,4,14,11,0,0,3,16500,14,7,6,1,100,0,0,debt_consolidation,joint,18000,36,9.93,580.22,B,B2,Jan-2018,Current,whole,Cash,15807.67,2891.17,2192.33,698.84,0
supervising attorney,4,LA,RENT,86000,Verified,27.66,NA,,NA,0,NA,1998,1,31,6,249350,262055,0,0,NA,0,0,3,0,6,6,0,0,3,25400,3,3,3,0,100,0,0,debt_consolidation,individual,10500,36,10.91,343.31,B,B4,Feb-2018,Current,whole,Cash,9495.01,1357.56,1004.99,352.57,0
motor vehicle operator,10,KS,OWN,67500,Source Verified,9.92,142891,Source Verified,6.89,0,NA,2003,5,25,5,99557,25512,0,0,NA,0,0,1,5,6,5,0,0,0,11000,12,3,1,1,100,0,0,debt_consolidation,joint,10000,60,9.43,209.68,B,B1,Mar-2018,Current,whole,Cash,9603.61,650,396.39,253.61,0
sr software engineer,10,CT,MORTGAGE,108000,Source Verified,15.1,NA,,NA,0,76,1989,5,58,19,268626,54302,0,0,NA,0,0,1,6,0,19,0,0,8,53200,45,17,9,8,98.3,0,0,debt_consolidation,individual,35000,36,12.61,1172.73,C,C1,Mar-2018,Current,fractional,Cash,33381.66,2320.94,1618.34,702.6,0
clinical report writer,3,TX,MORTGAGE,78000,Source Verified,14.32,159000,Source Verified,17.43,0,NA,1997,1,39,17,378769,195420,0,0,NA,0,0,2,1,0,17,0,0,5,11700,6,6,5,2,97.4,0,0,debt_consolidation,joint,35000,60,19.42,916.03,D,D3,Mar-2018,Current,whole,Cash,33934.09,2710.33,1065.91,1644.42,0
driver,10,CA,MORTGAGE,150000,Source Verified,17.11,220000,Source Verified,17.6,0,NA,2003,11,60,25,753199,99680,0,0,NA,0,0,2,13,1,25,0,0,8,118500,39,22,13,3,100,0,0,debt_consolidation,joint,16000,60,14.08,372.96,C,C3,Jan-2018,Current,fractional,Cash,15051.88,1839.77,948.12,891.65,0
stylist apprentice ,0,PA,OWN,13200,Source Verified,31.73,NA,,NA,0,NA,2008,0,6,6,48942,8390,0,0,NA,0,0,3,2,NA,6,0,0,0,18000,3,3,0,0,100,0,0,other,individual,5000,36,7.97,156.62,A,A5,Feb-2018,Current,whole,Cash,4501.41,622.05,498.59,123.46,0
teacher,3,AL,MORTGAGE,70000,Not Verified,21.98,NA,,NA,0,NA,1984,2,26,9,204775,58794,0,0,NA,0,0,2,2,1,9,0,0,3,37800,13,6,5,7,100,0,0,major_purchase,individual,1800,36,9.43,57.61,B,B1,Mar-2018,Current,whole,Cash,1566.81,271.89,233.19,38.7,0
store management ,10,TX,MORTGAGE,61880,Source Verified,17.24,NA,,NA,3,15,2004,3,33,12,142335,30270,0,0,50,0,0,2,4,6,12,0,0,2,6900,25,9,3,4,78.1,0,0,debt_consolidation,individual,10000,36,9.92,322.3,B,B2,Mar-2018,Current,whole,Cash,9518.75,633.58,481.25,152.33,0
